"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)"
468.637657021,0.00120913461538,468.637657021,0.000718509615385
468.846420493,0.00130048076923,468.846420493,0.00110817307692
469.055172186,0.00110673076923,469.055172186,0.000789903846154
469.263912098,0.00130673076923,469.263912098,0.00118942307692
469.472640226,0.00104110576923,469.472640226,0.000781009615385
469.681356568,0.00110240384615,469.681356568,0.00108028846154
469.89006112,0.00103173076923,469.89006112,0.000892548076923
470.09875388,0.00130192307692,470.09875388,0.00102139423077
470.307434845,0.00104423076923,470.307434845,0.000989423076923
470.516104012,0.000850240384615,470.516104012,0.000514182692308
470.72476138,0.00107860576923,470.72476138,0.00114663461538
470.933406944,0.000937980769231,470.933406944,0.000517548076923
471.142040702,0.000891105769231,471.142040702,0.000965144230769
471.350662651,0.00157860576923,471.350662651,0.00119879807692
471.559272789,0.00120673076923,471.559272789,0.000842548076923
471.767871113,0.00117235576923,471.767871113,0.000374278846154
471.97645762,0.00115336538462,471.97645762,0.000948798076923
472.185032307,0.00149423076923,472.185032307,0.00118004807692
472.393595172,0.00118173076923,472.393595172,0.00104879807692
472.602146212,0.000708173076923,472.602146212,0.000914423076923
472.810685424,0.000994230769231,472.810685424,0.000942548076923
473.019212805,0.000706009615385,473.019212805,0.000876923076923
473.227728352,0.000947355769231,473.227728352,0.000942788461538
473.436232064,0.00120360576923,473.436232064,0.000866346153846
473.644723936,0.00114423076923,473.644723936,0.00126442307692
473.853203967,0.00109110576923,473.853203967,0.000867548076923
474.061672154,0.00100360576923,474.061672154,0.000681730769231
474.270128493,0.00105360576923,474.270128493,0.000798798076923
474.478572982,0.000894230769231,474.478572982,0.000902884615385
474.687005618,0.00130360576923,474.687005618,0.00117451923077
474.895426399,0.000905528846154,474.895426399,0.000604086538462
475.103835322,0.000937259615385,475.103835322,0.000781009615385
475.312232384,0.000841105769231,475.312232384,0.00124879807692
475.520617582,0.00106298076923,475.520617582,0.000908173076923
475.728990913,0.00120360576923,475.728990913,0.00105697115385
475.937352375,0.00121923076923,475.937352375,0.000928846153846
476.145701966,0.00147860576923,476.145701966,0.00108629807692
476.354039681,0.00130048076923,476.354039681,0.00107067307692
476.562365519,0.000944230769231,476.562365519,0.000713221153846
476.770679477,0.00123317307692,476.770679477,0.000890384615385
476.978981552,0.00140024038462,476.978981552,0.000613221153846
477.187271741,0.00151298076923,477.187271741,0.00133004807692
477.395550041,0.00124735576923,477.395550041,0.00124254807692
477.60381645,0.00161610576923,477.60381645,0.00107379807692
477.812070965,0.00122860576923,477.812070965,0.00107451923077
478.020313584,0.00139735576923,478.020313584,0.00118317307692
478.228544302,0.00125673076923,478.228544302,0.00114254807692
478.436763119,0.00123798076923,478.436763119,0.000678846153846
478.64497003,0.00117548076923,478.64497003,0.000876923076923
478.853165034,0.00120336538462,478.853165034,0.00104254807692
479.061348127,0.00129711538462,479.061348127,0.000777884615385
479.269519306,0.00111298076923,479.269519306,0.000833173076923
479.47767857,0.000967788461538,479.47767857,0.000680048076923
479.685825915,0.00155985576923,479.685825915,0.00104350961538
479.893961338,0.00115673076923,479.893961338,0.00100192307692
480.102084837,0.00113173076923,480.102084837,0.00149254807692
480.310196408,0.00139735576923,480.310196408,0.000916346153846
480.51829605,0.00145048076923,480.51829605,0.000695432692308
480.72638376,0.00158173076923,480.72638376,0.00129254807692
480.934459534,0.00135360576923,480.934459534,0.00128701923077
481.14252337,0.00166610576923,481.14252337,0.00128942307692
481.350575264,0.00122860576923,481.350575264,0.00133004807692
481.558615216,0.00160360576923,481.558615216,0.00122764423077
481.766643221,0.00143173076923,481.766643221,0.000883173076923
481.974659277,0.00157235576923,481.974659277,0.00124879807692
482.182663381,0.00136610576923,482.182663381,0.00119879807692
482.39065553,0.00128173076923,482.39065553,0.00144254807692
482.598635722,0.00135985576923,482.598635722,0.000836298076923
482.806603954,0.00142548076923,482.806603954,0.00110504807692
483.014560223,0.00114423076923,483.014560223,0.000748798076923
