"Latest: Time (s)","Latest: Temperature (°C)"
637.5,23.6870158967
638,23.6870158967
638.5,23.6870158967
639,23.6870158967
639.5,23.6870158967
640,23.6870158967
640.5,23.6870158967
641,23.6870158967
641.5,23.6870158967
642,23.6870158967
642.5,23.6870158967
643,23.6870158967
643.5,23.6870158967
644,23.6870158967
644.5,23.6870158967
645,23.6870158967
645.5,23.6870158967
646,23.6870158967
646.5,23.6870158967
647,23.6870158967
647.5,23.6870158967
648,23.6870158967
648.5,23.6870158967
649,23.6870158967
649.5,23.6870158967
650,23.6870158967
650.5,23.6870158967
651,23.6870158967
651.5,23.6870158967
652,23.6870158967
652.5,23.6870158967
653,23.6870158967
653.5,23.6870158967
654,23.6870158967
654.5,23.6870158967
655,23.6870158967
655.5,23.6870158967
656,23.6870158967
656.5,23.6870158967
657,23.6870158967
657.5,23.6870158967
658,23.6870158967
658.5,23.6870158967
659,23.6870158967
659.5,23.6870158967
660,23.6870158967
660.5,23.6870158967
661,23.6870158967
661.5,23.6870158967
662,23.6870158967
662.5,23.6870158967
663,23.6870158967
663.5,23.6870158967
664,23.6870158967
664.5,23.6870158967
665,23.6870158967
665.5,23.6870158967
666,23.6870158967
666.5,23.6870158967
667,23.6870158967
667.5,23.6870158967
668,23.6870158967
668.5,23.6870158967
669,23.6870158967
669.5,23.6870158967
670,23.6870158967
670.5,23.6870158967
671,23.6870158967
671.5,23.6870158967
672,23.6870158967
672.5,23.6870158967
673,23.6870158967
673.5,23.6870158967
674,23.6870158967
674.5,23.6870158967
675,23.6870158967
675.5,23.6870158967
676,23.6870158967
676.5,23.6870158967
677,23.6870158967
677.5,23.6870158967
678,23.6870158967
678.5,23.6870158967
679,23.6870158967
679.5,23.6870158967
680,23.6870158967
680.5,23.6870158967
681,23.6870158967
681.5,23.6870158967
682,23.6870158967
682.5,23.6870158967
683,23.6870158967
683.5,23.6870158967
684,23.6870158967
684.5,23.6870158967
685,23.6870158967
685.5,23.6870158967
686,23.6870158967
686.5,23.6870158967
687,23.6870158967
687.5,23.6870158967
688,23.6870158967
688.5,23.6870158967
689,23.6870158967
689.5,23.6870158967
690,23.6870158967
690.5,23.6870158967
691,23.6870158967
691.5,23.6870158967
692,23.6870158967
692.5,23.6870158967
693,23.6870158967
693.5,23.6870158967
